job_id,tasks_num_of_single_job,task_generation_time,total_time,complation_time,finish_num,shortened_completion_timejob_id_order,tasks_num_of_single_job_order,task_generation_time_order,total_time_order,complation_time_ordered,finish_num
243,87,245830,8850,246530,88,98,243,87,245830,8850,246432,88
244,80,247126,7150,247780,81,3,244,80,247126,7150,247777,81
245,84,248374,6900,249027,85,50,245,84,248374,6900,248977,85
246,83,248752,6850,249524,84,71,246,83,248752,6850,249453,84
247,80,250978,7150,251582,81,3,247,80,250978,7150,251579,81
248,82,251243,7700,251946,83,-183,248,82,251243,7700,252129,83
249,90,252218,10800,253127,91,-242,249,90,252218,10800,253369,91
250,90,252999,11700,253754,91,-20,250,90,252999,11700,253774,91
251,82,254437,6350,255138,83,49,251,82,254437,6350,255089,83
252,85,256684,6950,257287,86,4,252,85,256684,6950,257283,86
253,86,256803,8800,257588,87,-154,253,86,256803,8800,257742,87
254,90,257131,9000,258058,91,23,254,90,257131,9000,258035,91
255,84,257903,7350,258606,85,49,255,84,257903,7350,258557,85
256,80,258445,6250,259155,81,102,256,80,258445,6250,259053,81
257,81,258854,8100,259656,82,0,257,81,258854,8100,259656,82
258,86,259601,8800,260304,87,-248,258,86,259601,8800,260552,87
259,85,260235,9650,261235,86,249,259,85,260235,9650,260986,86
260,88,260880,7550,261532,89,-99,260,88,260880,7550,261631,89
261,90,260998,7200,261931,91,102,261,90,260998,7200,261829,91
262,81,262463,6300,263115,82,0,262,81,262463,6300,263115,82
263,81,263933,9000,264637,82,0,263,81,263933,9000,264637,82
264,81,264768,9450,265819,82,246,264,81,264768,9450,265573,82
265,81,265457,5850,266058,82,-53,265,81,265457,5850,266111,82
266,90,265775,9000,266726,91,-50,266,90,265775,9000,266776,91
267,82,265973,8600,266927,83,-149,267,82,265973,8600,267076,83
268,84,266862,12300,267863,85,-100,268,84,266862,12300,267963,85
269,89,269344,7150,270049,90,1,269,89,269344,7150,270048,90
270,90,269998,7200,270550,91,1,270,90,269998,7200,270549,91
271,86,272807,7000,273556,87,97,271,86,272807,7000,273459,87
272,85,272847,6500,273558,86,-101,272,85,272847,6500,273659,86
273,82,274107,7250,274760,83,-398,273,82,274107,7250,275158,83
274,87,274200,5700,274959,88,99,274,87,274200,5700,274860,88
275,82,274546,7250,275262,83,-46,275,82,274546,7250,275308,83
276,88,275009,8000,275762,89,-49,276,88,275009,8000,275811,89
277,88,275857,8450,276511,89,3,277,88,275857,8450,276508,89
278,88,276119,9800,277008,89,138,278,88,276119,9800,276870,89
