job_id,tasks_num_of_single_job,task_generation_time,total_time,complation_time,complation_time_ordered,shortened_completion_timejob_id_order,tasks_num_of_single_job_order,task_generation_time_order,total_time_order
342,87,170857,38100,194098,209098,-15000,342,87,170857,38100
343,90,170857,42300,194457,211951,-17494,343,90,170857,42300
344,86,170885,37150,194327,214198,-19871,344,86,170885,37150
345,88,171354,40850,195729,216198,-20469,345,88,171354,40850
346,82,171538,37400,196457,218248,-21791,346,82,171538,37400
347,83,172584,37000,196652,219051,-22399,347,83,172584,37000
348,87,172937,41250,197652,193707,3945,348,87,172937,41250
349,84,173668,40650,198233,195490,2743,349,84,173668,40650
350,84,173708,36600,198495,197429,1066,350,84,173708,36600
351,83,175293,37000,199495,199648,-153,351,83,175293,37000
352,86,175729,39400,201161,202014,-853,352,86,175729,39400
353,84,175780,38850,202084,204540,-2456,353,84,175780,38850
354,89,176032,40450,203054,207540,-4486,354,89,176032,40450
355,83,176242,39700,204403,211298,-6895,355,83,176242,39700
356,84,176413,37500,205305,213798,-8493,356,84,176413,37500
357,85,176580,39350,206305,215298,-8993,357,85,176580,39350
358,83,176758,36550,206804,217398,-10594,358,83,176758,36550
359,83,179206,38350,207305,220398,-13093,359,83,179206,38350
360,86,180433,40750,208285,221140,-12855,360,86,180433,40750
361,81,181943,36900,213328,205457,7871,361,81,181943,36900
362,88,182025,39950,213828,206354,7474,362,88,182025,39950
363,85,182561,37550,215835,206854,8981,363,85,182561,37550
364,81,182683,33750,217378,207354,10024,364,81,182683,33750
365,83,182696,38350,219378,208752,10626,365,83,182696,38350
366,83,182854,38350,222564,211302,11262,366,83,182854,38350
367,80,183279,34150,224464,211802,12662,367,80,183279,34150
368,81,183321,35100,224637,207630,17007,368,81,183321,35100
369,90,183485,40500,225637,209195,16442,369,90,183485,40500
370,89,183518,40900,226214,210134,16080,370,89,183518,40900
371,88,183684,42650,227214,211630,15584,371,88,183684,42650
372,83,184844,39700,227637,212130,15507,372,83,184844,39700
373,82,185194,35600,226528,209428,17100,373,82,185194,35600
374,89,185709,40900,228216,210369,17847,374,89,185709,40900
375,86,185926,39850,229253,210538,18715,375,86,185926,39850
376,80,186077,37750,230528,209172,21356,376,80,186077,37750
377,89,186469,39100,232028,210172,21856,377,89,186469,39100
378,88,186564,39500,213316,209021,4295,378,88,186564,39500
379,80,187340,35500,213829,212071,1758,379,80,187340,35500
380,81,187911,36450,212743,213947,-1204,380,81,187911,36450
381,90,188718,40050,213243,214399,-1156,381,90,188718,40050
382,89,189189,38650,215195,214292,903,382,89,189189,38650
383,90,190132,41400,217383,215045,2338,383,90,190132,41400
384,89,190168,38200,217343,216764,579,384,89,190168,38200
385,87,190443,38550,219734,218264,1470,385,87,190443,38550
386,82,190449,37400,219883,220482,-599,386,82,190449,37400
387,84,190549,38850,221195,222264,-1069,387,84,190549,38850
388,83,190994,37450,222433,224032,-1599,388,83,190994,37450
389,90,191072,42300,222415,225469,-3054,389,90,191072,42300
390,88,191179,40850,223195,226433,-3238,390,88,191179,40850
391,90,192315,40050,224915,227080,-2165,391,90,192315,40050
392,87,193727,38550,225933,227433,-1500,392,87,193727,38550
393,80,194438,35950,226784,228314,-1530,393,80,194438,35950
394,81,194926,36900,227245,228814,-1569,394,81,194926,36900
395,83,195452,35650,228993,227330,1663,395,83,195452,35650
396,82,195542,37850,228915,228442,473,396,82,195542,37850
397,86,196325,38950,229965,229195,770,397,86,196325,38950
398,82,197241,33800,231965,230036,1929,398,82,197241,33800
399,88,197289,40850,232033,231536,497,399,88,197289,40850
400,83,197869,37900,232965,232380,585,400,83,197869,37900
401,81,199131,37350,235493,232992,2501,401,81,199131,37350
402,85,199164,40250,235534,234380,1154,402,85,199164,40250
403,82,199514,37400,236533,234992,1541,403,82,199514,37400
404,86,199614,38950,237083,236153,930,404,86,199614,38950
405,86,199926,38500,237295,239153,-1858,405,86,199926,38500
406,81,200030,36000,228590,240586,-11996,406,81,200030,36000
407,87,200147,39900,231154,244636,-13482,407,87,200147,39900
408,81,200242,34200,231448,246753,-15305,408,81,200242,34200
409,83,201206,40150,231590,247786,-16196,409,83,201206,40150
410,80,201954,36850,227692,229301,-1609,410,80,201954,36850
411,84,202013,37500,228742,231651,-2909,411,84,202013,37500
412,84,202132,36150,231342,234651,-3309,412,84,202132,36150
413,90,202358,41850,233392,236301,-2909,413,90,202358,41850
414,90,202934,39600,237795,238201,-406,414,90,202934,39600
415,85,203002,38450,238017,241351,-3334,415,85,203002,38450
416,82,203141,37850,238517,242351,-3834,416,82,203141,37850
417,83,203587,38350,239440,244451,-5011,417,83,203587,38350
418,88,204439,39050,240602,247401,-6799,418,88,204439,39050
419,87,204944,41700,242935,248901,-5966,419,87,204944,41700
420,85,205299,38450,246535,252101,-5566,420,85,205299,38450
421,82,205462,38300,249152,254401,-5249,421,82,205462,38300
422,87,205874,40350,251535,255445,-3910,422,87,205874,40350
423,84,207433,39300,254035,256742,-2707,423,84,207433,39300
424,87,207977,39900,257652,257451,201,424,87,207977,39900
425,88,208176,39950,257635,258751,-1116,425,88,208176,39950
426,82,209666,37400,238154,249757,-11603,426,82,209666,37400
427,88,211110,39500,239545,250440,-10895,427,88,211110,39500
428,80,211365,35950,240666,252940,-12274,428,80,211365,35950
429,84,211619,38850,241704,237569,4135,429,84,211619,38850
430,80,212455,38650,242953,238635,4318,430,80,212455,38650
431,83,212712,37450,245254,239490,5764,431,83,212712,37450
432,89,212734,40450,246053,240583,5470,432,89,212734,40450
433,82,212833,39650,245916,241490,4426,433,82,212833,39650
434,81,213766,36900,247366,241990,5376,434,81,213766,36900
435,87,213902,40350,248525,243119,5406,435,87,213902,40350
436,80,213932,36850,250216,244119,6097,436,80,213932,36850
437,88,214178,40400,249804,245040,4764,437,88,214178,40400
438,88,214288,40850,250466,245683,4783,438,88,214288,40850
439,85,214400,38900,251416,246540,4876,439,85,214400,38900
440,90,214575,41400,252416,242295,10121,440,90,214575,41400
441,81,215784,36900,252283,243542,8741,441,81,215784,36900
442,83,216189,38350,253195,244542,8653,442,83,216189,38350
443,83,217353,36100,253784,245680,8104,443,83,217353,36100
